SampleID,sequencing_well,batch,project,field,sample_name,fk_num,sampling_method,gps_latitude,gps_longitude,field_length,field_width,field_diag,sample_ms,sample_x,sample_y,"x,y",x_ms,y_ms,collection_day,collection_month,collection_year,year_start,date,days,crop_rotation_primary_y0,crop_rotation_companion_y0,crop_rotation_primary_y1,crop_rotation_companion_y1,crop_rotation_primary_y2,crop_rotation_companion_y2,crop_rotation_primary_y3,crop_rotation_companion_y3,crop_rotation_primary_y4,crop_rotation_companion_y4,crop_rotation_primary_y5,crop_rotation_companion_y5,wheat_cultivar,take_all_seen,take_all_evidence,take_all_time,fertiliser_use,fertiliser_use_nitrogen,fertiliser_use_phosphous,fertiliser_use_potassium,fertiliser_use_micronutrients,fertiliser_use_other,fertiliser_application_rate_monthly,fertiliser_application_rate_every_six_months,fertiliser_application_rate_yearly,fertiliser_application_rate_every_two_years,fertiliser_application_rate_every_other,manure_use,manure_application_rate_monthly,manure_application_rate_every_six_months,manure_application_rate_yearly,manure_application_rate_every_two_years,manure_application_rate_other,pesticides__insecticides_use,fungicides_use,herbicides_use,tillage,tillage_method,soil_texture,fertility,soil_ph,available_p,available_k,available_mg,available_na,available_ca,extractable_cu,extractable_zn,extractable_mn,extractable_fe,extractable_so4,extractable_mo,extractable_co,ECEC,h_TN,h_TC,moisture_content,dh_TN,dh_TC
2_demultiplex.bc1008--bc1056.hifi_reads,C6,1,sample,5LY.02,5LY.02.17,NA,NA,53.21567,-0.14249,859.19,433.26,866.54,85,7,4,"7,4",,,6,8,2024,01/01/2024,08/06/2024,218,group_1,NA,combining_peas,NA,group_2,NA,maize_forage,NA,malting_barley,NA,NA,NA,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,lime-rich,6.9,22.6,4209,44,9.4,2323.8,3.8,5.2,92.9,226.1,338,0,0.8,16.8,0.161,2.31,3.84,0.167,2.4
2_demultiplex.bc1008--bc1057.hifi_reads,C7,1,sample,5BY.01,5BY.01.03,NA,NA,53.02619,-0.6952,396.7,313.41,486.06,46,3,3,"3,3",,,5,8,2024,01/01/2024,08/05/2024,217,group_2,NA,oats,vetch,wheat_group2,NA,maize,NA,forage_rye,NA,NA,NA,Extase; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,"Clayey, some loamy",high,6.6,21.6,369,134,17.5,3777.1,4.4,6,113.8,346.8,1023.9,0,1.3,29,0.267,3.11,3.59,0.276,3.23
2_demultiplex.bc1008--bc1059.hifi_reads,C8,1,sample,5BY.01,5BY.01.11,NA,NA,53.02619,-0.6952,396.7,313.41,486.06,46,1,10,"1,10",,,5,8,2024,01/01/2024,08/05/2024,217,group_2,NA,oats,vetch,wheat_group2,NA,maize,NA,forage_rye,NA,NA,NA,Extase; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,"Clayey, some loamy",high,6.6,21.6,369,134,17.5,3777.1,4.4,6,113.8,346.8,1023.9,0,1.3,29,0.267,3.11,3.59,0.276,3.23
2_demultiplex.bc1008--bc1060.hifi_reads,C9,1,sample,5BY.01,5BY.01.19,NA,NA,53.02619,-0.6952,396.7,313.41,486.06,46,9,2,"9,2",,,5,8,2024,01/01/2024,08/05/2024,217,group_2,NA,oats,vetch,wheat_group2,NA,maize,NA,forage_rye,NA,NA,NA,Extase; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,"Clayey, some loamy",high,6.6,21.6,369,134,17.5,3777.1,4.4,6,113.8,346.8,1023.9,0,1.3,29,0.267,3.11,3.59,0.276,3.23
2_demultiplex.bc1008--bc1062.hifi_reads,C10,1,sample,5RJ.02,5RJ.02.06,NA,NA,53.218306,-0.16975,349.47,225.22,388.67,35,6,6,"6,6",,,6,8,2024,01/01/2024,08/06/2024,218,feed_wheat,NA,pre_pack,NA,group_2,NA,maize_forage,NA,spring_wheat,NA,NA,NA,Champion; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy and clayey,moderate,7.9,24.2,168,68,11.8,2664.1,5.3,4.8,67.2,291.3,55.1,0,0.5,18.8,0.119,1.37,1.59,0.121,1.4
2_demultiplex.bc1008--bc1065.hifi_reads,C11,1,sample,5RJ.02,5RJ.02.14,NA,NA,53.218306,-0.16975,349.47,225.22,388.67,35,4,7,"4,7",,,6,8,2024,01/01/2024,08/06/2024,218,feed_wheat,NA,pre_pack,NA,group_2,NA,maize_forage,NA,spring_wheat,NA,NA,NA,Champion; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy and clayey,moderate,7.9,24.2,168,68,11.8,2664.1,5.3,4.8,67.2,291.3,55.1,0,0.5,18.8,0.119,1.37,1.59,0.121,1.4
2_demultiplex.bc1008--bc1075.hifi_reads,C12,1,sample,6LP.01,6LP.01.01,NA,NA,52.284838,-2.328044,536.52,363.26,681.55,66,1,1,"1,1",,,26,6,2024,01/01/2024,26/06/2024,177,wheat,NA,salad_onions,NA,winter_wheat,NA,pak_choi,NA,french_Beans,NA,NA,NA,Common wheat/bread wheat,Yes,Bleaching/discolouration,NA,Yes,Yes,No,Yes,No,Sulphur,No,No,Yes,NA,NA,Yes,NA,NA,NA,NA,When required,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,low,7,48,240,64,6.9,1734.2,3.6,7.7,101.5,306.5,94.9,0,0.5,13,0.095,1.17,1.22,0.096,1.19
2_demultiplex.bc1012--bc1033.hifi_reads,D1,1,sample,4LQ.02,4LQ.02.20,NA,NA,51.22593,1.22016,444.68,313.29,589.92,55,10,1,"10,1",,,20,8,2024,01/01/2024,20/08/2024,232,winter_wheat,NA,winter_oats,NA,winter_wheat,NA,winter_wheat,NA,winter_beans,NA,NA,NA,Common wheat/bread wheat; Heritage wheat,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,NA,NA,Yes,NA,NA,NA,NA,Every three years,Yes,NA,NA,No,No tillage,Loamy,lime-rich,8,71.6,294,46,12.4,2659,6,9.9,97.1,113.9,44.8,0,0.5,18.9,0.333,6.62,3.1,0.343,6.83
2_demultiplex.bc1012--bc1035.hifi_reads,D2,1,sample,4LQ.01,4LQ.01.07,NA,NA,51.23002,1.23029,691.13,253.08,680.13,65,7,7,"7,7",,,20,8,2024,01/01/2024,20/08/2024,232,winter_wheat,NA,winter_oats,NA,winter_wheat,NA,winter_wheat,NA,winter_beans,NA,NA,NA,Common wheat/bread wheat; Heritage wheat,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,NA,NA,Yes,NA,NA,NA,NA,Every three years,Yes,NA,NA,No,No tillage,Loamy,lime-rich,7.9,29.2,201,55,22.9,3133.1,4.7,8.3,137.6,117.6,45.4,0,0.6,21.8,0.303,4.62,3.51,0.314,4.78
2_demultiplex.bc1012--bc1044.hifi_reads,D3,1,sample,4LQ.01,4LQ.01.15,NA,NA,51.23002,1.23029,691.13,253.08,680.13,65,5,6,"5,6",,,20,8,2024,01/01/2024,20/08/2024,232,winter_wheat,NA,winter_oats,NA,winter_wheat,NA,winter_wheat,NA,winter_beans,NA,NA,NA,Common wheat/bread wheat; Heritage wheat,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,NA,NA,Yes,NA,NA,NA,NA,Every three years,Yes,NA,NA,No,No tillage,Loamy,lime-rich,7.9,29.2,201,55,22.9,3133.1,4.7,8.3,137.6,117.6,45.4,0,0.6,21.8,0.303,4.62,3.51,0.314,4.78
2_demultiplex.bc1012--bc1045.hifi_reads,D4,1,sample,5LY.02,5LY.02.02,NA,NA,53.21567,-0.14249,859.19,433.26,866.54,85,2,2,"2,2",,,6,8,2024,01/01/2024,08/06/2024,218,group_1,NA,combining_peas,NA,group_2,NA,maize_forage,NA,malting_barley,NA,NA,NA,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,lime-rich,6.9,22.6,4209,44,9.4,2323.8,3.8,5.2,92.9,226.1,338,0,0.8,16.8,0.161,2.31,3.84,0.167,2.4
2_demultiplex.bc1012--bc1054.hifi_reads,D5,1,sample,5LY.02,5LY.02.10,NA,NA,53.21567,-0.14249,859.19,433.26,866.54,85,10,10,"10,10",,,6,8,2024,01/01/2024,08/06/2024,218,group_1,NA,combining_peas,NA,group_2,NA,maize_forage,NA,malting_barley,NA,NA,NA,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,lime-rich,6.9,22.6,4209,44,9.4,2323.8,3.8,5.2,92.9,226.1,338,0,0.8,16.8,0.161,2.31,3.84,0.167,2.4
2_demultiplex.bc1012--bc1056.hifi_reads,D6,1,sample,5LY.02,5LY.02.18,NA,NA,53.21567,-0.14249,859.19,433.26,866.54,85,8,3,"8,3",,,6,8,2024,01/01/2024,08/06/2024,218,group_1,NA,combining_peas,NA,group_2,NA,maize_forage,NA,malting_barley,NA,NA,NA,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,lime-rich,6.9,22.6,4209,44,9.4,2323.8,3.8,5.2,92.9,226.1,338,0,0.8,16.8,0.161,2.31,3.84,0.167,2.4
2_demultiplex.bc1012--bc1057.hifi_reads,D7,1,sample,5BY.01,5BY.01.04,NA,NA,53.02619,-0.6952,396.7,313.41,486.06,46,4,4,"4,4",,,5,8,2024,01/01/2024,08/05/2024,217,group_2,NA,oats,vetch,wheat_group2,NA,maize,NA,forage_rye,NA,NA,NA,Extase; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,"Clayey, some loamy",high,6.6,21.6,369,134,17.5,3777.1,4.4,6,113.8,346.8,1023.9,0,1.3,29,0.267,3.11,3.59,0.276,3.23
2_demultiplex.bc1012--bc1059.hifi_reads,D8,1,sample,5BY.01,5BY.01.12,NA,NA,53.02619,-0.6952,396.7,313.41,486.06,46,2,9,"2,9",,,5,8,2024,01/01/2024,08/05/2024,217,group_2,NA,oats,vetch,wheat_group2,NA,maize,NA,forage_rye,NA,NA,NA,Extase; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,"Clayey, some loamy",high,6.6,21.6,369,134,17.5,3777.1,4.4,6,113.8,346.8,1023.9,0,1.3,29,0.267,3.11,3.59,0.276,3.23
2_demultiplex.bc1012--bc1060.hifi_reads,D9,1,sample,5BY.01,5BY.01.20,NA,NA,53.02619,-0.6952,396.7,313.41,486.06,46,10,1,"10,1",,,5,8,2024,01/01/2024,08/05/2024,217,group_2,NA,oats,vetch,wheat_group2,NA,maize,NA,forage_rye,NA,NA,NA,Extase; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,"Clayey, some loamy",high,6.6,21.6,369,134,17.5,3777.1,4.4,6,113.8,346.8,1023.9,0,1.3,29,0.267,3.11,3.59,0.276,3.23
2_demultiplex.bc1012--bc1062.hifi_reads,D10,1,sample,5RJ.02,5RJ.02.07,NA,NA,53.218306,-0.16975,349.47,225.22,388.67,35,7,7,"7,7",,,6,8,2024,01/01/2024,08/06/2024,218,feed_wheat,NA,pre_pack,NA,group_2,NA,maize_forage,NA,spring_wheat,NA,NA,NA,Champion; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy and clayey,moderate,7.9,24.2,168,68,11.8,2664.1,5.3,4.8,67.2,291.3,55.1,0,0.5,18.8,0.119,1.37,1.59,0.121,1.4
2_demultiplex.bc1012--bc1065.hifi_reads,D11,1,sample,5RJ.02,5RJ.02.15,NA,NA,53.218306,-0.16975,349.47,225.22,388.67,35,5,6,"5,6",,,6,8,2024,01/01/2024,08/06/2024,218,feed_wheat,NA,pre_pack,NA,group_2,NA,maize_forage,NA,spring_wheat,NA,NA,NA,Champion; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy and clayey,moderate,7.9,24.2,168,68,11.8,2664.1,5.3,4.8,67.2,291.3,55.1,0,0.5,18.8,0.119,1.37,1.59,0.121,1.4
2_demultiplex.bc1012--bc1075.hifi_reads,D12,1,gt_control,S1,S1,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2_demultiplex.bc1015--bc1033.hifi_reads,E1,1,farmer_kit,4LQ.02,4LQ.2.221.FK,221,SFK,51.22593,1.22016,444.68,313.29,589.92,NA,NA,NA,NA,,,20,8,2024,01/01/2024,20/08/2024,232,winter_wheat,NA,winter_oats,NA,winter_wheat,NA,winter_wheat,NA,winter_beans,NA,NA,NA,Common wheat/bread wheat; Heritage wheat,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,NA,NA,Yes,NA,NA,NA,NA,Every three years,Yes,NA,NA,No,No tillage,Loamy,lime-rich,8,71.6,294,46,12.4,2659,6,9.9,97.1,113.9,44.8,0,0.5,18.9,0.333,6.62,3.1,0.343,6.83
2_demultiplex.bc1015--bc1035.hifi_reads,E2,1,sample,4LQ.01,4LQ.01.08,NA,NA,51.23002,1.23029,691.13,253.08,680.13,65,8,8,"8,8",,,20,8,2024,01/01/2024,20/08/2024,232,winter_wheat,NA,winter_oats,NA,winter_wheat,NA,winter_wheat,NA,winter_beans,NA,NA,NA,Common wheat/bread wheat; Heritage wheat,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,NA,NA,Yes,NA,NA,NA,NA,Every three years,Yes,NA,NA,No,No tillage,Loamy,lime-rich,7.9,29.2,201,55,22.9,3133.1,4.7,8.3,137.6,117.6,45.4,0,0.6,21.8,0.303,4.62,3.51,0.314,4.78
2_demultiplex.bc1015--bc1044.hifi_reads,E3,1,sample,4LQ.01,4LQ.01.16,NA,NA,51.23002,1.23029,691.13,253.08,680.13,65,6,5,"6,5",,,20,8,2024,01/01/2024,20/08/2024,232,winter_wheat,NA,winter_oats,NA,winter_wheat,NA,winter_wheat,NA,winter_beans,NA,NA,NA,Common wheat/bread wheat; Heritage wheat,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,NA,NA,Yes,NA,NA,NA,NA,Every three years,Yes,NA,NA,No,No tillage,Loamy,lime-rich,7.9,29.2,201,55,22.9,3133.1,4.7,8.3,137.6,117.6,45.4,0,0.6,21.8,0.303,4.62,3.51,0.314,4.78
2_demultiplex.bc1015--bc1045.hifi_reads,E4,1,sample,5LY.02,5LY.02.03,NA,NA,53.21567,-0.14249,859.19,433.26,866.54,85,3,3,"3,3",,,6,8,2024,01/01/2024,08/06/2024,218,group_1,NA,combining_peas,NA,group_2,NA,maize_forage,NA,malting_barley,NA,NA,NA,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,lime-rich,6.9,22.6,4209,44,9.4,2323.8,3.8,5.2,92.9,226.1,338,0,0.8,16.8,0.161,2.31,3.84,0.167,2.4
2_demultiplex.bc1015--bc1054.hifi_reads,E5,1,sample,5LY.02,5LY.02.11,NA,NA,53.21567,-0.14249,859.19,433.26,866.54,85,1,10,"1,10",,,6,8,2024,01/01/2024,08/06/2024,218,group_1,NA,combining_peas,NA,group_2,NA,maize_forage,NA,malting_barley,NA,NA,NA,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,lime-rich,6.9,22.6,4209,44,9.4,2323.8,3.8,5.2,92.9,226.1,338,0,0.8,16.8,0.161,2.31,3.84,0.167,2.4
2_demultiplex.bc1015--bc1056.hifi_reads,E6,1,sample,5LY.02,5LY.02.19,NA,NA,53.21567,-0.14249,859.19,433.26,866.54,85,9,2,"9,2",,,6,8,2024,01/01/2024,08/06/2024,218,group_1,NA,combining_peas,NA,group_2,NA,maize_forage,NA,malting_barley,NA,NA,NA,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,lime-rich,6.9,22.6,4209,44,9.4,2323.8,3.8,5.2,92.9,226.1,338,0,0.8,16.8,0.161,2.31,3.84,0.167,2.4
2_demultiplex.bc1015--bc1057.hifi_reads,E7,1,sample,5BY.01,5BY.01.05,NA,NA,53.02619,-0.6952,396.7,313.41,486.06,46,5,5,"5,5",,,5,8,2024,01/01/2024,08/05/2024,217,group_2,NA,oats,vetch,wheat_group2,NA,maize,NA,forage_rye,NA,NA,NA,Extase; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,"Clayey, some loamy",high,6.6,21.6,369,134,17.5,3777.1,4.4,6,113.8,346.8,1023.9,0,1.3,29,0.267,3.11,3.59,0.276,3.23
2_demultiplex.bc1015--bc1059.hifi_reads,E8,1,sample,5BY.01,5BY.01.13,NA,NA,53.02619,-0.6952,396.7,313.41,486.06,46,3,8,"3,8",,,5,8,2024,01/01/2024,08/05/2024,217,group_2,NA,oats,vetch,wheat_group2,NA,maize,NA,forage_rye,NA,NA,NA,Extase; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,"Clayey, some loamy",high,6.6,21.6,369,134,17.5,3777.1,4.4,6,113.8,346.8,1023.9,0,1.3,29,0.267,3.11,3.59,0.276,3.23
2_demultiplex.bc1015--bc1060.hifi_reads,E9,1,farmer_kit,5BY.01,5BY.1.234.FK,234,SFK,53.02619,-0.6952,396.7,313.41,486.06,,,,,,,5,8,2024,01/01/2024,08/05/2024,217,group_2,NA,oats,vetch,wheat_group2,NA,maize,NA,forage_rye,NA,NA,NA,Extase; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,"Clayey, some loamy",high,6.6,21.6,369,134,17.5,3777.1,4.4,6,113.8,346.8,1023.9,0,1.3,29,0.267,3.11,3.59,0.276,3.23
2_demultiplex.bc1015--bc1062.hifi_reads,E10,1,sample,5RJ.02,5RJ.02.08,NA,NA,53.218306,-0.16975,349.47,225.22,388.67,35,8,8,"8,8",,,6,8,2024,01/01/2024,08/06/2024,218,feed_wheat,NA,pre_pack,NA,group_2,NA,maize_forage,NA,spring_wheat,NA,NA,NA,Champion; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy and clayey,moderate,7.9,24.2,168,68,11.8,2664.1,5.3,4.8,67.2,291.3,55.1,0,0.5,18.8,0.119,1.37,1.59,0.121,1.4
2_demultiplex.bc1015--bc1065.hifi_reads,E11,1,sample,5RJ.02,5RJ.02.16,NA,NA,53.218306,-0.16975,349.47,225.22,388.67,35,6,5,"6,5",,,6,8,2024,01/01/2024,08/06/2024,218,feed_wheat,NA,pre_pack,NA,group_2,NA,maize_forage,NA,spring_wheat,NA,NA,NA,Champion; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy and clayey,moderate,7.9,24.2,168,68,11.8,2664.1,5.3,4.8,67.2,291.3,55.1,0,0.5,18.8,0.119,1.37,1.59,0.121,1.4
2_demultiplex.bc1015--bc1075.hifi_reads,E12,1,gt_control,S2,S2,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2_demultiplex.bc1020--bc1033.hifi_reads,F1,1,sample,4LQ.01,4LQ.01.01,NA,NA,51.23002,1.23029,691.13,253.08,680.13,65,1,1,"1,1",,,20,8,2024,01/01/2024,20/08/2024,232,winter_wheat,NA,winter_oats,NA,winter_wheat,NA,winter_wheat,NA,winter_beans,NA,NA,NA,Common wheat/bread wheat; Heritage wheat,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,NA,NA,Yes,NA,NA,NA,NA,Every three years,Yes,NA,NA,No,No tillage,Loamy,lime-rich,7.9,29.2,201,55,22.9,3133.1,4.7,8.3,137.6,117.6,45.4,0,0.6,21.8,0.303,4.62,3.51,0.314,4.78
2_demultiplex.bc1020--bc1035.hifi_reads,F2,1,sample,4LQ.01,4LQ.01.09,NA,NA,51.23002,1.23029,691.13,253.08,680.13,65,9,9,"9,9",,,20,8,2024,01/01/2024,20/08/2024,232,winter_wheat,NA,winter_oats,NA,winter_wheat,NA,winter_wheat,NA,winter_beans,NA,NA,NA,Common wheat/bread wheat; Heritage wheat,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,NA,NA,Yes,NA,NA,NA,NA,Every three years,Yes,NA,NA,No,No tillage,Loamy,lime-rich,7.9,29.2,201,55,22.9,3133.1,4.7,8.3,137.6,117.6,45.4,0,0.6,21.8,0.303,4.62,3.51,0.314,4.78
2_demultiplex.bc1020--bc1044.hifi_reads,F3,1,sample,4LQ.01,4LQ.01.17,NA,NA,51.23002,1.23029,691.13,253.08,680.13,65,7,4,"7,4",,,20,8,2024,01/01/2024,20/08/2024,232,winter_wheat,NA,winter_oats,NA,winter_wheat,NA,winter_wheat,NA,winter_beans,NA,NA,NA,Common wheat/bread wheat; Heritage wheat,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,NA,NA,Yes,NA,NA,NA,NA,Every three years,Yes,NA,NA,No,No tillage,Loamy,lime-rich,7.9,29.2,201,55,22.9,3133.1,4.7,8.3,137.6,117.6,45.4,0,0.6,21.8,0.303,4.62,3.51,0.314,4.78
2_demultiplex.bc1020--bc1045.hifi_reads,F4,1,sample,5LY.02,5LY.02.04,NA,NA,53.21567,-0.14249,859.19,433.26,866.54,85,4,4,"4,4",,,6,8,2024,01/01/2024,08/06/2024,218,group_1,NA,combining_peas,NA,group_2,NA,maize_forage,NA,malting_barley,NA,NA,NA,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,lime-rich,6.9,22.6,4209,44,9.4,2323.8,3.8,5.2,92.9,226.1,338,0,0.8,16.8,0.161,2.31,3.84,0.167,2.4
2_demultiplex.bc1020--bc1054.hifi_reads,F5,1,sample,5LY.02,5LY.02.12,NA,NA,53.21567,-0.14249,859.19,433.26,866.54,85,2,9,"2,9",,,6,8,2024,01/01/2024,08/06/2024,218,group_1,NA,combining_peas,NA,group_2,NA,maize_forage,NA,malting_barley,NA,NA,NA,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,lime-rich,6.9,22.6,4209,44,9.4,2323.8,3.8,5.2,92.9,226.1,338,0,0.8,16.8,0.161,2.31,3.84,0.167,2.4
2_demultiplex.bc1020--bc1056.hifi_reads,F6,1,sample,5LY.02,5LY.02.20,NA,NA,53.21567,-0.14249,859.19,433.26,866.54,85,10,1,"10,1",,,6,8,2024,01/01/2024,08/06/2024,218,group_1,NA,combining_peas,NA,group_2,NA,maize_forage,NA,malting_barley,NA,NA,NA,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,lime-rich,6.9,22.6,4209,44,9.4,2323.8,3.8,5.2,92.9,226.1,338,0,0.8,16.8,0.161,2.31,3.84,0.167,2.4
2_demultiplex.bc1020--bc1057.hifi_reads,F7,1,sample,5BY.01,5BY.01.06,NA,NA,53.02619,-0.6952,396.7,313.41,486.06,46,6,6,"6,6",,,5,8,2024,01/01/2024,08/05/2024,217,group_2,NA,oats,vetch,wheat_group2,NA,maize,NA,forage_rye,NA,NA,NA,Extase; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,"Clayey, some loamy",high,6.6,21.6,369,134,17.5,3777.1,4.4,6,113.8,346.8,1023.9,0,1.3,29,0.267,3.11,3.59,0.276,3.23
2_demultiplex.bc1020--bc1059.hifi_reads,F8,1,sample,5BY.01,5BY.01.14,NA,NA,53.02619,-0.6952,396.7,313.41,486.06,46,4,7,"4,7",,,5,8,2024,01/01/2024,08/05/2024,217,group_2,NA,oats,vetch,wheat_group2,NA,maize,NA,forage_rye,NA,NA,NA,Extase; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Reduced tillage,"Clayey, some loamy",high,6.6,21.6,369,134,17.5,3777.1,4.4,6,113.8,346.8,1023.9,0,1.3,29,0.267,3.11,3.59,0.276,3.23
